instrumentIdentifier,SeniorityAndSecurity
59766371APD0 07 2013093AB5,SeniorUnsecuredBond
60050621ESPS 10013093AD1,SeniorUnsecuredBond
62201991LUL0 07013093AD1,SeniorUnsecuredBond
62824742LUL0 07013093AD1,SeniorUnsecuredBond
65137911NMS0 26 3013093AD1,SeniorUnsecuredBond
11824542LULT 07013716AU9,SeniorUnsecuredBond
11824551LTRL 07013716AU9,SeniorUnsecuredBond
11824571FMD5 26013716AU9,SeniorUnsecuredBond
11824587LTRM 26013716AU9,SeniorUnsecuredBond
12035571LULT 07013716AU9,SeniorUnsecuredBond
12035582LULA 07013716AU9,SeniorUnsecuredBond
12083245LTRM 26013716AU9,SeniorUnsecuredBond
12083251LULA 07013716AU9,SeniorUnsecuredBond
12152053LULA 07013716AU9,SeniorUnsecuredBond
12152064LULA 07013716AU9,SeniorUnsecuredBond
32682526LTRM 26013716AU9,SeniorUnsecuredBond
32682682FMD5 26013716AU9,SeniorUnsecuredBond
32682691ESPL 07013716AU9,SeniorUnsecuredBond
32682534LTRM 26013716AW5,SeniorUnsecuredBond
32682701ESPL 07013716AW5,SeniorUnsecuredBond
34130085LTRM 26013716AW5,SeniorUnsecuredBond
34559746LTRM 26013716AW5,SeniorUnsecuredBond
71422381NMS0 26 201609WAT9,SeniorUnsecuredBond
65968461NMS0 10 101609WAV4,SeniorUnsecuredBond
46075401LULT 07017475AC8,SeniorUnsecuredBond
46075751LEQ0 26017475AC8,SeniorUnsecuredBond
46075781LTR0 10017475AC8,SeniorUnsecuredBond
46075821HLT0 26017475AC8,SeniorUnsecuredBond
46075851LUL0 1P017475AC8,SeniorUnsecuredBond
65555811REA4 07DE01748NAE4,SeniorUnsecuredBond
35866081HLT0 26018490AN2,SeniorUnsecuredBond
35866082HLT0 26018490AN2,SeniorUnsecuredBond
35866083HLT0 26018490AN2,SeniorUnsecuredBond
35867411LTRM 26018490AN2,SeniorUnsecuredBond
44109611TXA2 1Y018490AQ5,SeniorUnsecuredBond
13951382FMD1D0701852FAC7,SubordinateBond
2534241DFP1D2601852FAC7,SubordinateBond
2534261FMD1D0701852FAC7,SubordinateBond
2534262FMD3 2CG101852FAC7,SubordinateBond
2534271FMD6 2601852FAC7,SubordinateBond
9547611APD0 07 301877KAB9,SeniorSecuredBond
9547621REA2 0701877KAB9,SeniorSecuredBond
10789641ESPS 1001877KAD5,SeniorSecuredBond
10789652LTR0 1001877KAD5,SeniorSecuredBond
10789671HHE0 1001877KAD5,SeniorSecuredBond
10789681LTR0 2601877KAD5,SeniorSecuredBond
10789691NMS0 1P01877KAD5,SeniorSecuredBond
10789723FMD1 1001877KAD5,SeniorSecuredBond
14083741LTR0 1001877KAD5,SeniorSecuredBond
14083831LTR0 0701877KAD5,SeniorSecuredBond
14083832LTR0 0701877KAD5,SeniorSecuredBond
68421921LEQ5 2601882YAB2,SeniorUnsecuredBond
68421931HHE0 0701882YAB2,SeniorUnsecuredBond
68421941LEQ0 1001882YAB2,SeniorUnsecuredBond
56499601LUL1 0701959EAC2,SeniorUnsecuredBond
56500131LEQ5 2601959EAC2,SeniorUnsecuredBond
11110197FMD1 07020002AQ4,SeniorUnsecuredBond
11299731REA3 07020002AQ4,SeniorUnsecuredBond
11299741HLT0 26020002AQ4,SeniorUnsecuredBond
11299742HLT0 26020002AQ4,SeniorUnsecuredBond
11299743HLT0 26020002AQ4,SeniorUnsecuredBond
11299744HLT0 26020002AQ4,SeniorUnsecuredBond
11299753ESPL 07020002AQ4,SeniorUnsecuredBond
11299754ESPL 07020002AQ4,SeniorUnsecuredBond
11299755ESPL 07020002AQ4,SeniorUnsecuredBond
15854703NMS0 07020002AS0,SeniorUnsecuredBond
15855021HLT0 10020002AS0,SeniorUnsecuredBond
15855021HLT0 26020002AS0,SeniorUnsecuredBond
15855022HLT0 10020002AS0,SeniorUnsecuredBond
31546174NMS0 07020002AS0,SeniorUnsecuredBond
17203981HLTB 26020002AT8,SeniorUnsecuredBond
18377793FMD3 2CG2020002AT8,SeniorUnsecuredBond
20577801LUL0 1P020002AU5,SubordinateBond
20875001LULT 07020002AU5,SubordinateBond
46001221LUL0 1P020002BB6,SubordinateBond
46001751LEQ0 10020002BB6,SubordinateBond
46001891NMS0 L2020002BB6,SubordinateBond
67546761NMS0 26 1020002BF7,SeniorUnsecuredBond
26858041FMD1 07020039DC4,SeniorUnsecuredBond
31215721ESPS 0702005NAE0,SeniorUnsecuredBond
31215771NMS0 1C02005NAE0,SeniorUnsecuredBond
31216522FMD1 0702005NAE0,SeniorUnsecuredBond
37470661HLT0 2602005NAE0,SeniorUnsecuredBond
57569071FMD1 0702005NAE0,SeniorUnsecuredBond
56777821LULX 0702005NAJ9,SeniorUnsecuredBond
