instrumentIdentifier,CNLP_rating
62938821FMD1 0757169*BH9,A2
62939011ESPS 0757169*BH9,A2
62939231NMS0 L257169*BH9,A2
62939431LULT 0757169*BH9,A2
62938831ESPS 1057169*BL0,A2
62938851ESPA 1057169*BL0,A2
62942651ESPL 0757169*BM8,A2
62942662HLT0 2657169*BM8,A2
62942681HLT0 2657169*BM8,A2
9682771DFP9 2657169*BS5,A2
3711071LUL0 0758528#EB9,A3
3711081LUL0 0758528#EC7,A3
1956421FMD1D0758528#EE3,A3
2123791FMD1D0758528#EJ2,A3
2123891FMD1D0758528#EN3,A3
61366591ESPS 1060040*AC0,Baa1
61366681ESPS 0760040*AC0,Baa1
61367121LTR0 2660040*AC0,Baa1
61366651ESPL 1060040*AD8,Baa1
61366671LUL0 0760040*AD8,Baa1
61366811FMDL 0760040*AD8,Baa1
61367031FMDL 2660040*AD8,Baa1
61367111LTR0 0760040*AD8,Baa1
61367112ESPL 1060040*AD8,Baa1
46277221LTR0 07607120EZ1,A2
46277241ESPS 10607120EZ1,A2
23117241HLT0 2661744@AK7,Baa2
23117252HLT0 2661744@AK7,Baa2
47693091FMD5 0762927#AA4,A1
47693101FMD5 2662927#AC0,A1
47693111FMD5 0762927#AC0,A1
55771081FMD1 1062927#AF3,A1
55771091FMD1 1062927#AH9,A1
55771111LUL0 0762927#AH9,A1
55771171LEQ0 2662927#AH9,A1
55771101LUL0 0762927#AJ5,A1
55771121NMS0 2362927#AJ5,A1
55771231NMS0 1C62927#AJ5,A1
70882801HHE0 0762927#AL0,A1
70882381LUL0 2662927#AP1,A1
23554251LULX 0763615#AD3,A1
24054251ESPS 0763615#AG6,A1
64631881LEQ5 2663636#AB2,Baa1
22636202FMD1 0765605*AC6,A1
22636501FMD1 0765605*AC6,A1
22636683LUL0 0765605*AC6,A1
22636961LUL0 0765605*AC6,A1
22637022LUL0 0765605*AC6,A1
67529891NMS0 0767105@AF8,Baa3
67529901FMD1 0767105@AF8,Baa3
67530071ESPL 1067105@AF8,Baa3
